provinceID, provinceName, loc, county, countyloc, duchy, duchyloc, kingdom, kingdomloc, region, terrain, type, X, Y, rgb, area (pixels), county area, duchy area, kingdom area

1, b_vestfirdir, Vestfirðir, c_vestisland, Vestrland, d_iceland, Iceland, k_norway, Norway world_europe_north, mountains, inhabitable, X:271, Y:3950, rgb(42, 3, 128), AREA: 4185, County Area: 13299, Duchy Area: 35255, Kingdom Area: 147219;
2, b_reykjavik, Reykjavík, c_vestisland, Vestrland, d_iceland, Iceland, k_norway, Norway world_europe_north, taiga, inhabitable, X:230, Y:3847, rgb(84, 6, 1), AREA: 4075, County Area: 13299, Duchy Area: 35255, Kingdom Area: 147219;
3, b_stokkseyri, Skálaholt, c_sudurland, Suðrland, d_iceland, Iceland, k_norway, Norway world_europe_north, plains, inhabitable, X:301, Y:3810, rgb(126, 9, 129), AREA: 4056, County Area: 7747, Duchy Area: 35255, Kingdom Area: 147219;
4, b_reydarfjall, Austfirðir, c_austisland, Austrland, d_iceland, Iceland, k_norway, Norway world_europe_north, mountains, inhabitable, X:508, Y:3882, rgb(168, 12, 2), AREA: 3562, County Area: 5711, Duchy Area: 35255, Kingdom Area: 147219;
5, b_husavik, Norðrland, c_nordrland, Norðrland, d_iceland, Iceland, k_norway, Norway world_europe_north, hills, inhabitable, X:410, Y:3934, rgb(0, 15, 130), AREA: 4680, County Area: 8498, Duchy Area: 35255, Kingdom Area: 147219;
6, b_torshavn, Þórshöfn, c_faereyar, Færeyjar, d_northern_isles, Northern Isles, k_norway, Norway world_europe_north, hills, inhabitable, X:678, Y:3607, rgb(168, 45, 177), AREA: 867, County Area: 867, Duchy Area: 3143, Kingdom Area: 147219;
7, b_scalloway, Scalloway, c_shetland, Shetland, d_northern_isles, Northern Isles, k_norway, Norway world_europe_north, wetlands, inhabitable, X:955, Y:3471, rgb(84, 21, 131), AREA: 1348, County Area: 1348, Duchy Area: 3143, Kingdom Area: 147219;
8, b_kirkwall, Kirkwall, c_orkney, Orkney, d_northern_isles, Northern Isles, k_norway, Norway world_europe_north, plains, inhabitable, X:860, Y:3378, rgb(126, 24, 4), AREA: 928, County Area: 928, Duchy Area: 3143, Kingdom Area: 147219;
9, b_donegal, Donegal, c_ailech, Ailech, d_ulster, Ulster, k_ireland, Ireland world_europe_west_britannia, hills, inhabitable, X:539, Y:3067, rgb(168, 27, 132), AREA: 1184, County Area: 4005, Duchy Area: 10540, Kingdom Area: 45466;
10, b_raphoe, Raphoe, c_ailech, Ailech, d_ulster, Ulster, k_ireland, Ireland world_europe_west_britannia, hills, inhabitable, X:568, Y:3087, rgb(0, 30, 5), AREA: 1316, County Area: 4005, Duchy Area: 10540, Kingdom Area: 45466;
11, b_fahan, Fahan, c_ailech, Ailech, d_ulster, Ulster, k_ireland, Ireland world_europe_west_britannia, forest, inhabitable, X:592, Y:3098, rgb(42, 33, 133), AREA: 555, County Area: 4005, Duchy Area: 10540, Kingdom Area: 45466;
12, b_derry, Derry, c_ailech, Ailech, d_ulster, Ulster, k_ireland, Ireland world_europe_west_britannia, wetlands, inhabitable, X:596, Y:3082, rgb(84, 36, 6), AREA: 950, County Area: 4005, Duchy Area: 10540, Kingdom Area: 45466;
13, b_slemish, Slemish, c_ulster, Ulster, d_ulster, Ulster, k_ireland, Ireland world_europe_west_britannia, hills, inhabitable, X:639, Y:3081, rgb(126, 39, 134), AREA: 790, County Area: 2725, Duchy Area: 10540, Kingdom Area: 45466;
14, b_carrickfergus, Carrickfergus, c_ulster, Ulster, d_ulster, Ulster, k_ireland, Ireland world_europe_west_britannia, plains, inhabitable, X:665, Y:3064, rgb(168, 42, 7), AREA: 666, County Area: 2725, Duchy Area: 10540, Kingdom Area: 45466;
15, b_downpatrick, Downpatrick, c_ulster, Ulster, d_ulster, Ulster, k_ireland, Ireland world_europe_west_britannia, plains, inhabitable, X:657, Y:3027, rgb(0, 45, 135), AREA: 500, County Area: 2725, Duchy Area: 10540, Kingdom Area: 45466;
16, b_baltimore, Baltimore, c_desmond, Desmond, d_munster, Munster, k_ireland, Ireland world_europe_west_britannia, hills, inhabitable, X:431, Y:2844, rgb(42, 48, 8), AREA: 940, County Area: 5192, Duchy Area: 12809, Kingdom Area: 45466;
17, b_armagh, Armagh, c_oriel, Oriel, d_ulster, Ulster, k_ireland, Ireland world_europe_west_britannia, plains, inhabitable, X:623, Y:3035, rgb(84, 51, 136), AREA: 908, County Area: 3810, Duchy Area: 10540, Kingdom Area: 45466;
18, b_dundalk, Dundalk, c_oriel, Oriel, d_ulster, Ulster, k_ireland, Ireland world_europe_west_britannia, hills, inhabitable, X:630, Y:3011, rgb(126, 54, 9), AREA: 606, County Area: 3810, Duchy Area: 10540, Kingdom Area: 45466;
19, b_ardee, Ardee, c_oriel, Oriel, d_ulster, Ulster, k_ireland, Ireland world_europe_west_britannia, plains, inhabitable, X:620, Y:2997, rgb(168, 57, 137), AREA: 465, County Area: 3810, Duchy Area: 10540, Kingdom Area: 45466;
20, b_galway, Galway, c_connacht, Hy Many, d_connacht, Connacht, k_ireland, Ireland world_europe_west_britannia, wetlands, inhabitable, X:447, Y:2979, rgb(0, 60, 10), AREA: 1424, County Area: 3750, Duchy Area: 12327, Kingdom Area: 45466;
21, b_castlebar, Castlebar, c_mayo, Mayo, d_connacht, Connacht, k_ireland, Ireland world_europe_west_britannia, wetlands, inhabitable, X:483, Y:3001, rgb(42, 63, 138), AREA: 893, County Area: 4702, Duchy Area: 12327, Kingdom Area: 45466;
22, b_sligo, Sligo, c_mayo, Mayo, d_connacht, Connacht, k_ireland, Ireland world_europe_west_britannia, wetlands, inhabitable, X:519, Y:3030, rgb(84, 66, 11), AREA: 1425, County Area: 4702, Duchy Area: 12327, Kingdom Area: 45466;
23, b_athenry, Athenry, c_connacht, Hy Many, d_connacht, Connacht, k_ireland, Ireland world_europe_west_britannia, wetlands, inhabitable, X:509, Y:2957, rgb(126, 69, 139), AREA: 741, County Area: 3750, Duchy Area: 12327, Kingdom Area: 45466;
24, b_dromahair, Dromahair, c_breifne, Breifne, d_connacht, Connacht, k_ireland, Ireland world_europe_west_britannia, hills, inhabitable, X:541, Y:3028, rgb(168, 72, 12), AREA: 1001, County Area: 3875, Duchy Area: 12327, Kingdom Area: 45466;
25, b_belcoo, Belcoo, c_breifne, Breifne, d_connacht, Connacht, k_ireland, Ireland world_europe_west_britannia, forest, inhabitable, X:576, Y:3042, rgb(0, 75, 140), AREA: 524, County Area: 3875, Duchy Area: 12327, Kingdom Area: 45466;
26, b_longford, Longford, c_breifne, Breifne, d_connacht, Connacht, k_ireland, Ireland world_europe_west_britannia, wetlands, inhabitable, X:561, Y:3005, rgb(42, 78, 13), AREA: 1104, County Area: 3875, Duchy Area: 12327, Kingdom Area: 45466;
27, b_cavan, Cavan, c_breifne, Breifne, d_connacht, Connacht, k_ireland, Ireland world_europe_west_britannia, wetlands, inhabitable, X:599, Y:2994, rgb(126, 84, 14), AREA: 637, County Area: 3875, Duchy Area: 12327, Kingdom Area: 45466;
28, b_dublin, Dublin, c_dublin, Dublin, d_meath, Meath, k_ireland, Ireland world_europe_west_britannia, plains, inhabitable, X:623, Y:2946, rgb(84, 81, 141), AREA: 665, County Area: 2968, Duchy Area: 5250, Kingdom Area: 45466;
29, b_wicklow, Wicklow, c_dublin, Dublin, d_meath, Meath, k_ireland, Ireland world_europe_west_britannia, hills, inhabitable, X:625, Y:2925, rgb(168, 87, 142), AREA: 511, County Area: 2968, Duchy Area: 5250, Kingdom Area: 45466;
30, b_kildare, Kildare, c_dublin, Dublin, d_meath, Meath, k_ireland, Ireland world_europe_west_britannia, plains, inhabitable, X:598, Y:2942, rgb(0, 90, 15), AREA: 554, County Area: 2968, Duchy Area: 5250, Kingdom Area: 45466;
31, b_trim, Trim, c_dublin, Dublin, d_meath, Meath, k_ireland, Ireland world_europe_west_britannia, plains, inhabitable, X:593, Y:2958, rgb(42, 93, 143), AREA: 490, County Area: 2968, Duchy Area: 5250, Kingdom Area: 45466;
32, b_drogheda, Drogheda, c_dublin, Dublin, d_meath, Meath, k_ireland, Ireland world_europe_west_britannia, plains, inhabitable, X:620, Y:2972, rgb(84, 96, 16), AREA: 748, County Area: 2968, Duchy Area: 5250, Kingdom Area: 45466;
33, b_birr, Birr, c_athlone, Athlone, d_meath, Meath, k_ireland, Ireland world_europe_west_britannia, wetlands, inhabitable, X:553, Y:2962, rgb(126, 99, 144), AREA: 1000, County Area: 2282, Duchy Area: 5250, Kingdom Area: 45466;
34, b_athlone, Athlone, c_athlone, Athlone, d_meath, Meath, k_ireland, Ireland world_europe_west_britannia, wetlands, inhabitable, X:540, Y:2942, rgb(168, 102, 17), AREA: 606, County Area: 2282, Duchy Area: 5250, Kingdom Area: 45466;
35, b_ardnamurchon, Ardnamurchon, c_argyll, Argyll, d_western_isles, Isles, k_scotland, Scotland world_europe_west_britannia, hills, inhabitable, X:682, Y:3207, rgb(0, 105, 145), AREA: 766, County Area: 3476, Duchy Area: 9187, Kingdom Area: 48930;
36, b_uisneach, Uisneach, c_athlone, Athlone, d_meath, Meath, k_ireland, Ireland world_europe_west_britannia, wetlands, inhabitable, X:585, Y:2975, rgb(42, 108, 18), AREA: 676, County Area: 2282, Duchy Area: 5250, Kingdom Area: 45466;
37, b_wexford, Wexford, c_leinster, Leinster, d_leinster, Leinster, k_ireland, Ireland world_europe_west_britannia, plains, inhabitable, X:598, Y:2876, rgb(84, 111, 146), AREA: 633, County Area: 2328, Duchy Area: 4540, Kingdom Area: 45466;
38, b_enniscorthy, Enniscorthy, c_leinster, Leinster, d_leinster, Leinster, k_ireland, Ireland world_europe_west_britannia, plains, inhabitable, X:596, Y:2892, rgb(126, 114, 19), AREA: 576, County Area: 2328, Duchy Area: 4540, Kingdom Area: 45466;
39, b_ferns, Ferns, c_leinster, Leinster, d_leinster, Leinster, k_ireland, Ireland world_europe_west_britannia, hills, inhabitable, X:604, Y:2909, rgb(168, 117, 147), AREA: 621, County Area: 2328, Duchy Area: 4540, Kingdom Area: 45466;
40, b_carlow, Carlow, c_leinster, Leinster, d_leinster, Leinster, k_ireland, Ireland world_europe_west_britannia, hills, inhabitable, X:601, Y:2928, rgb(0, 120, 20), AREA: 498, County Area: 2328, Duchy Area: 4540, Kingdom Area: 45466;
41, b_kilkenny, Kilkenny, c_ossory, Ossory, d_leinster, Leinster, k_ireland, Ireland world_europe_west_britannia, plains, inhabitable, X:550, Y:2913, rgb(42, 123, 148), AREA: 463, County Area: 2212, Duchy Area: 4540, Kingdom Area: 45466;
42, b_athy, Athy, c_ossory, Ossory, d_leinster, Leinster, k_ireland, Ireland world_europe_west_britannia, plains, inhabitable, X:574, Y:2931, rgb(84, 126, 21), AREA: 596, County Area: 2212, Duchy Area: 4540, Kingdom Area: 45466;
43, b_gowran, Gowran, c_ossory, Ossory, d_leinster, Leinster, k_ireland, Ireland world_europe_west_britannia, plains, inhabitable, X:576, Y:2912, rgb(126, 129, 149), AREA: 542, County Area: 2212, Duchy Area: 4540, Kingdom Area: 45466;
